query_id	ndcg10	recall10	recall100	mrr10
PLAIN-3037	0.0000	0.0000	0.0000	0.0000
PLAIN-3053	0.7654	0.6667	0.6667	1.0000
PLAIN-3063	0.0000	0.0000	0.2500	0.0000
PLAIN-3074	1.0000	1.0000	1.0000	1.0000
PLAIN-3085	0.4030	1.0000	1.0000	0.1667
PLAIN-3097	0.4770	0.2500	0.5000	1.0000
PLAIN-3116	0.0000	0.0000	0.0000	0.0000
PLAIN-3131	0.4840	0.3333	0.5000	1.0000
PLAIN-3141	0.0866	0.0294	0.1471	0.1000
PLAIN-3151	0.2063	0.1667	0.5556	0.1429
PLAIN-3161	0.4177	0.0465	0.3488	1.0000
PLAIN-3171	0.2040	0.0588	0.2059	0.5000
PLAIN-3181	0.0000	0.0000	0.1111	0.0000
PLAIN-3191	0.3703	0.1250	0.4375	1.0000
PLAIN-3201	0.2974	0.0938	0.1250	0.3333
PLAIN-3211	0.0000	0.0000	0.0000	0.0000
PLAIN-3221	0.0000	0.0000	0.1250	0.0000
PLAIN-3231	0.0000	0.0000	0.2500	0.0000
PLAIN-3241	0.1138	0.0345	0.0690	0.1250
PLAIN-3251	0.0000	0.0000	0.0952	0.0000
PLAIN-3261	0.1498	0.0769	0.1538	0.3333
PLAIN-3271	0.0000	0.0000	0.0612	0.0000
PLAIN-3281	0.3239	0.0385	0.0769	1.0000
PLAIN-3292	0.1417	0.2857	0.8571	0.1667
PLAIN-3302	0.2942	0.0541	0.3243	1.0000
PLAIN-3312	0.1228	0.2308	0.5385	0.1667
PLAIN-3322	0.0784	0.0127	0.0759	0.1667
PLAIN-3332	0.3933	0.2857	0.7857	0.5000
PLAIN-3342	0.7039	0.6667	1.0000	1.0000
PLAIN-3352	0.0000	0.0000	0.1538	0.0000
PLAIN-3362	0.5881	0.2727	0.2727	1.0000
PLAIN-3372	0.1138	0.0714	0.1429	0.1250
PLAIN-3382	0.1297	0.1429	0.4286	0.3333
PLAIN-3392	0.0000	0.0000	0.1304	0.0000
PLAIN-3402	0.0000	0.0000	0.0714	0.0000
PLAIN-3412	0.2707	0.0612	0.1837	1.0000
PLAIN-3422	0.1095	0.0645	0.5161	0.3333
PLAIN-3432	0.2462	0.0714	0.2381	0.2500
PLAIN-3442	0.0000	0.0000	0.0690	0.0000
PLAIN-3452	0.5768	0.2353	0.4118	1.0000
PLAIN-3462	0.6930	0.1094	0.4375	1.0000
PLAIN-3472	0.0000	0.0000	0.0588	0.0000
