query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
PLAIN-2209	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2220	0.2350	0.1111	0.1111	0.1111			1.0000	0.2000	0.1000	0.0000	0.1111	0.1111	0.8000
PLAIN-2230	0.1063	0.1429	0.1429	0.1429			0.2000	0.2000	0.1000	0.0000	0.0286	0.1429	0.9181
PLAIN-2240	0.5834	0.4545	0.4545	0.4545			1.0000	0.8000	0.5000	0.0000	0.3574	0.4545	0.4353
PLAIN-2250	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2261	0.6086	0.0833	0.1167	0.1333			1.0000	0.6000	0.5000	0.0000	0.0878	0.1167	0.3935
PLAIN-2271	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2281	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2291	0.3392	0.2000	0.2000	0.4000			1.0000	0.2000	0.1000	0.0000	0.2047	0.2000	0.8000
PLAIN-2301	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2311	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2321	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2332	0.3629	0.0309	0.0722	0.2474			1.0000	0.2000	0.3000	0.0000	0.0872	0.2371	0.6450
PLAIN-2343	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-2354	0.3836	0.4000	0.4000	0.4000			0.5000	0.4000	0.2000	0.0000	0.2333	0.4000	0.7120
